Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Joško Gvardiol,hr CRO,DF,22,37,36,"3,277",36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,Manchester City
Erling Haaland,no NOR,FW,24,31,31,"2,736",30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,Manchester City
Bernardo Silva,pt POR,"MF,FW",29,33,29,"2,670",29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,Manchester City
Ederson,br BRA,GK,30,26,26,"2,320",25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Manchester City
Rúben Dias,pt POR,DF,27,27,25,"2,271",25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Manchester City
İlkay Gündoğan,de GER,MF,33,33,25,"2,223",24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,Manchester City
Mateo Kovačić,hr CRO,MF,30,31,25,"2,198",24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0,Manchester City
Manuel Akanji,ch SUI,DF,29,26,23,"2,014",22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Manchester City
Rico Lewis,eng ENG,"DF,MF",19,28,21,"1,893",21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Manchester City
Sávio,br BRA,"FW,MF",20,29,21,"1,766",19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,Manchester City
Phil Foden,eng ENG,"MF,FW",24,28,20,"1,777",19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,Manchester City
Kevin De Bruyne,be BEL,"MF,FW",33,28,19,"1,702",18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,Manchester City
Matheus Nunes,pt POR,"DF,MF",25,26,19,"1,674",18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,Manchester City
Jeremy Doku,be BEL,"FW,MF",22,29,16,"1,516",16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,Manchester City
Omar Marmoush,eg EGY,"FW,MF",25,16,14,"1,175",13.1,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,Manchester City
Stefan Ortega,de GER,GK,31,13,12,"1,100",12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester City
Kyle Walker,eng ENG,DF,34,15,9,970,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Manchester City
Nicolás González,es ESP,MF,22,11,9,760,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Manchester City
Nathan Aké,nl NED,DF,29,10,8,678,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Jack Grealish,eng ENG,"FW,MF",28,20,7,721,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,Manchester City
John Stones,eng ENG,"DF,MF",30,11,6,548,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Manchester City
Nico O’Reilly,eng ENG,DF,19,9,6,528,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Manchester City
Abdukodir Khusanov,uz UZB,DF,20,6,6,503,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester City
James Mcatee,eng ENG,"MF,FW",21,15,3,349,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,Manchester City
Jahmai Simpson-Pusey,eng ENG,DF,18,2,1,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester City
Rodri,es ESP,MF,28,3,1,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Divin Mubama,eng ENG,FW,19,1,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Oscar Bobb,no NOR,FW,21,3,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Claudio Echeverri,ar ARG,FW,18,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Vitor Reis,br BRA,DF,18,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Max Alleyne,eng ENG,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Thorsten Brits,eng ENG,GK,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Scott Carson,eng ENG,GK,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Issa Kaboré,bf BFA,"DF,MF",23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Josh Wilson-Esbrand,eng ENG,DF,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Jacob Wright,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
